,Fiscal Year,Region,Gender,Race/Ethnicity,Age Group,Different Race/Ethnicity as Adoptive Parent,Same Race/Ethnicity as Adoptive Parent,Disabling Condition: Drug or Alcohol,Disabling Condition: Emotionally Disturbed,Disabling Condition: Learning Disability,Disabling Condition: Medically Involved,Disabling Condition: Other,Disabling Condition: Physical,Children in Adoption Placements,Children Waiting on Adoption as of 8/31,Total Months Since Termination,Average Months Since Termination of Parental Rights,Removals,Victims,In Foster Care,In Other Substitute Care,In Substitute Care with Non-Relative,In Substitute Care with Relative
103,2010,8-San Antonio,Female,Anglo,Birth to Five Years Old,3.0,20.0,5.0,,3.0,2.0,1.0,1.0,21,13,87,6.6923076923076925,10.0,10.0,31.0,27.0,30.0,28.0
104,2010,8-San Antonio,Female,Anglo,Six to Twelve Years Old,6.0,12.0,,1.0,3.0,,,,19,33,878,26.606060606060606,14.0,14.0,37.0,26.0,40.0,23.0
105,2010,8-San Antonio,Female,Hispanic,Birth to Five Years Old,66.0,113.0,55.0,2.0,5.0,7.0,1.0,,177,113,1111,9.831858407079647,10.0,10.0,72.0,61.0,76.0,57.0
106,2010,8-San Antonio,Female,Hispanic,Six to Twelve Years Old,49.0,83.0,6.0,12.0,10.0,5.0,,1.0,133,130,3291,25.315384615384616,14.0,14.0,70.0,77.0,90.0,57.0
107,2010,8-San Antonio,Male,African American,Birth to Five Years Old,19.0,17.0,14.0,,2.0,2.0,,,34,30,268,8.933333333333334,10.0,10.0,23.0,15.0,26.0,12.0
108,2010,8-San Antonio,Male,African American,Six to Twelve Years Old,11.0,27.0,1.0,5.0,7.0,1.0,,,36,43,1378,32.04651162790697,14.0,14.0,34.0,11.0,35.0,10.0
109,2010,8-San Antonio,Male,Anglo,Birth to Five Years Old,7.0,22.0,6.0,2.0,2.0,1.0,,1.0,29,17,167,9.823529411764707,10.0,10.0,40.0,34.0,43.0,31.0
110,2010,8-San Antonio,Male,Anglo,Six to Twelve Years Old,8.0,14.0,3.0,6.0,5.0,4.0,,1.0,22,35,1132,32.34285714285714,14.0,14.0,52.0,30.0,58.0,24.0
111,2010,8-San Antonio,Male,Hispanic,Birth to Five Years Old,69.0,122.0,58.0,1.0,8.0,6.0,3.0,,199,110,1130,10.272727272727273,10.0,10.0,76.0,59.0,80.0,55.0
112,2010,8-San Antonio,Male,Hispanic,Six to Twelve Years Old,42.0,84.0,12.0,15.0,21.0,2.0,,,142,181,5620,31.049723756906076,14.0,14.0,91.0,71.0,110.0,52.0
113,2010,9-Midland,Female,African American,Birth to Five Years Old,3.0,1.0,1.0,,,,,,4,4,62,15.5,10.0,10.0,16.0,9.0,17.0,8.0
114,2010,9-Midland,Female,Anglo,Birth to Five Years Old,2.0,4.0,2.0,,,1.0,,,9,15,117,7.8,10.0,10.0,23.0,18.0,24.0,17.0
115,2010,9-Midland,Female,Anglo,Six to Twelve Years Old,1.0,3.0,,,1.0,1.0,,,2,11,283,25.727272727272727,14.0,14.0,22.0,13.0,23.0,12.0
116,2010,9-Midland,Female,Hispanic,Birth to Five Years Old,15.0,4.0,4.0,,3.0,2.0,,1.0,19,15,158,10.533333333333333,10.0,10.0,28.0,23.0,31.0,20.0
117,2010,9-Midland,Female,Hispanic,Six to Twelve Years Old,9.0,6.0,,2.0,3.0,1.0,,1.0,15,18,215,11.944444444444445,14.0,14.0,31.0,19.0,31.0,19.0
118,2010,9-Midland,Male,African American,Birth to Five Years Old,7.0,,2.0,,,,,,4,5,39,7.8,10.0,10.0,17.0,12.0,17.0,12.0
119,2010,9-Midland,Male,Anglo,Birth to Five Years Old,2.0,7.0,2.0,,2.0,2.0,,,7,5,25,5.0,10.0,10.0,25.0,19.0,25.0,19.0
120,2010,9-Midland,Male,Hispanic,Birth to Five Years Old,13.0,14.0,8.0,2.0,2.0,1.0,,,29,18,188,10.444444444444445,10.0,10.0,35.0,24.0,36.0,23.0
121,2010,9-Midland,Male,Hispanic,Six to Twelve Years Old,7.0,4.0,,3.0,3.0,1.0,,,10,18,371,20.61111111111111,14.0,14.0,27.0,17.0,28.0,16.0
122,2011,1-Lubbock,Female,African American,Birth to Five Years Old,15.0,7.0,4.0,,2.0,3.0,1.0,1.0,22,18,156,8.666666666666666,10.0,10.0,21.0,15.0,22.0,14.0
123,2011,1-Lubbock,Female,African American,Six to Twelve Years Old,5.0,4.0,,1.0,1.0,,,,7,20,694,34.7,14.0,14.0,28.0,11.0,29.0,10.0
124,2011,1-Lubbock,Female,Anglo,Birth to Five Years Old,2.0,15.0,5.0,1.0,3.0,2.0,,,21,20,177,8.85,10.0,10.0,42.0,29.0,43.0,28.0
125,2011,1-Lubbock,Female,Anglo,Six to Twelve Years Old,1.0,11.0,1.0,5.0,5.0,2.0,,,16,18,278,15.444444444444445,14.0,14.0,40.0,24.0,42.0,22.0
126,2011,1-Lubbock,Female,Hispanic,Birth to Five Years Old,11.0,11.0,6.0,,5.0,3.0,,,27,31,225,7.258064516129032,10.0,10.0,59.0,34.0,64.0,29.0
127,2011,1-Lubbock,Female,Hispanic,Six to Twelve Years Old,13.0,14.0,2.0,6.0,2.0,1.0,,,31,22,219,9.954545454545455,14.0,14.0,53.0,45.0,60.0,38.0
128,2011,1-Lubbock,Female,Other,Birth to Five Years Old,3.0,,1.0,,,,,,2,1,19,19.0,4.0,10.0,2.0,2.0,2.0,2.0
129,2011,1-Lubbock,Male,African American,Birth to Five Years Old,11.0,6.0,4.0,1.0,,,,,19,11,81,7.363636363636363,10.0,10.0,28.0,17.0,31.0,14.0
