,Different Race/Ethnicity as Adoptive Parent,Same Race/Ethnicity as Adoptive Parent,Disabling Condition: Drug or Alcohol,Disabling Condition: Emotionally Disturbed,Disabling Condition: Learning Disability,Disabling Condition: Medically Involved,Disabling Condition: Other,Disabling Condition: Physical,Children in Adoption Placements,Children Waiting on Adoption as of 8/31,Total Months Since Termination,Average Months Since Termination of Parental Rights,Removals,Victims,In Foster Care,In Other Substitute Care,In Substitute Care with Non-Relative,In Substitute Care with Relative,Number of Consummated Adoptions,Number of Kids in Substitute Care,Percent of Kids in Consummated Adoptions,Fiscal Year_2010,Fiscal Year_2011,Fiscal Year_2012,Fiscal Year_2013,Fiscal Year_2014,Fiscal Year_2015,Fiscal Year_2016,Fiscal Year_2017,Fiscal Year_2018,Fiscal Year_2019,Region_1-Lubbock,Region_10-El Paso,Region_11-Edinburg,Region_2-Abilene,Region_3-Arlington,Region_4-Tyler,Region_5-Beaumont,Region_6-Houston,Region_7-Austin,Region_8-San Antonio,Region_9-Midland,Race/Ethnicity_African American,Race/Ethnicity_Anglo,Race/Ethnicity_Asian,Race/Ethnicity_Hispanic,Race/Ethnicity_Other,Age Group_Birth to Five Years Old,Age Group_Six to Twelve Years Old,Age Group_Thirteen to Seventeen Years Old,Gender_Female,Gender_Male
54,1.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,9,10,195,19.5,14.0,14.0,32.0,13.0,32.0,13.0,7.0,45.0,13.461538461538462,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
55,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,4,17,499,29.35294117647059,10.0,10.0,38.0,10.0,38.0,10.0,0.0,48.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
56,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,6,7,54,7.7142857142857135,10.0,10.0,27.0,11.0,26.0,12.0,0.0,38.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
57,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,4,144,36.0,10.0,14.0,19.0,8.0,19.0,8.0,0.0,27.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
58,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3,5,110,22.0,6.0,10.0,19.0,7.0,19.0,7.0,0.0,26.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
59,20.0,70.0,19.0,1.0,8.0,7.0,0.0,3.0,80,62,654,10.548387096774192,10.0,10.0,41.0,37.0,45.0,33.0,90.0,78.0,53.57142857142857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
60,17.0,49.0,1.0,8.0,5.0,3.0,0.0,1.0,60,84,2329,27.726190476190478,14.0,14.0,47.0,32.0,52.0,27.0,66.0,79.0,45.51724137931035,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
61,1.0,11.0,1.0,4.0,4.0,2.0,1.0,0.0,10,42,1744,41.52380952380953,10.0,10.0,52.0,19.0,60.0,11.0,12.0,71.0,14.457831325301203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
62,18.0,72.0,31.0,0.0,6.0,10.0,2.0,0.0,91,60,288,4.8,10.0,10.0,75.0,62.0,82.0,55.0,90.0,137.0,39.647577092511014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
63,8.0,51.0,1.0,15.0,12.0,2.0,0.0,2.0,58,60,1302,21.7,14.0,14.0,84.0,59.0,95.0,48.0,59.0,143.0,29.207920792079207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
64,3.0,17.0,1.0,6.0,4.0,1.0,0.0,1.0,19,41,1205,29.39024390243902,10.0,10.0,81.0,35.0,90.0,26.0,20.0,116.0,14.705882352941178,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
65,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,34,34.0,6.0,10.0,3.0,1.0,3.0,1.0,0.0,4.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
66,39.0,15.0,14.0,0.0,1.0,4.0,0.0,0.0,48,41,383,9.341463414634148,10.0,10.0,46.0,33.0,50.0,29.0,54.0,79.0,40.6015037593985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
67,23.0,6.0,1.0,5.0,3.0,3.0,0.0,2.0,33,50,938,18.76,14.0,14.0,51.0,34.0,59.0,26.0,29.0,85.0,25.438596491228072,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
68,3.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,8,24,755,31.45833333333333,10.0,10.0,46.0,18.0,51.0,13.0,7.0,64.0,9.859154929577464,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
69,31.0,63.0,36.0,2.0,6.0,5.0,2.0,0.0,94,79,876,11.088607594936711,10.0,10.0,51.0,32.0,58.0,25.0,94.0,83.0,53.10734463276836,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
70,24.0,45.0,6.0,16.0,17.0,11.0,0.0,1.0,66,75,2348,31.30666666666667,14.0,14.0,59.0,33.0,67.0,25.0,69.0,92.0,42.857142857142854,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
71,3.0,17.0,0.0,7.0,5.0,2.0,0.0,0.0,17,47,2977,63.3404255319149,10.0,10.0,58.0,18.0,64.0,12.0,20.0,76.0,20.833333333333336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
72,19.0,80.0,28.0,2.0,5.0,5.0,0.0,0.0,91,64,598,9.34375,10.0,10.0,84.0,48.0,87.0,45.0,99.0,132.0,42.857142857142854,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
