,Fiscal Year,Region,Gender,Race/Ethnicity,Age Group,Different Race/Ethnicity as Adoptive Parent,Same Race/Ethnicity as Adoptive Parent,Disabling Condition: Drug or Alcohol,Disabling Condition: Emotionally Disturbed,Disabling Condition: Learning Disability,Disabling Condition: Medically Involved,Disabling Condition: Other,Disabling Condition: Physical,Children in Adoption Placements,Children Waiting on Adoption as of 8/31,Total Months Since Termination,Average Months Since Termination of Parental Rights,Removals,Victims,In Foster Care,In Other Substitute Care,In Substitute Care with Non-Relative,In Substitute Care with Relative,Number of Consummated Adoptions,Number of Kids in Substitute Care,Percent of Kids in Consummated Adoptions
10,2010,1-Lubbock,Male,African American,Thirteen to Seventeen Years Old,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,3,12,582,48.5,8.0,10.0,44.0,10.0,48.0,6.0,3.0,54.0,5.263157894736842
11,2010,1-Lubbock,Male,Anglo,Birth to Five Years Old,6.0,11.0,4.0,1.0,2.0,0.0,0.0,0.0,16,11,122,11.090909090909092,10.0,10.0,39.0,18.0,40.0,17.0,17.0,57.0,22.972972972972975
12,2010,1-Lubbock,Male,Anglo,Six to Twelve Years Old,1.0,9.0,0.0,4.0,4.0,0.0,0.0,0.0,8,26,624,24.0,14.0,14.0,55.0,16.0,56.0,15.0,10.0,71.0,12.345679012345679
13,2010,1-Lubbock,Male,Anglo,Thirteen to Seventeen Years Old,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,6,13,388,29.84615384615385,8.0,10.0,61.0,9.0,67.0,3.0,0.0,70.0,0.0
14,2010,1-Lubbock,Male,Hispanic,Birth to Five Years Old,26.0,14.0,4.0,1.0,3.0,4.0,0.0,2.0,44,22,238,10.818181818181818,10.0,10.0,40.0,32.0,44.0,28.0,40.0,72.0,35.714285714285715
15,2010,1-Lubbock,Male,Hispanic,Six to Twelve Years Old,12.0,17.0,1.0,7.0,12.0,1.0,0.0,0.0,31,40,890,22.25,14.0,14.0,57.0,27.0,62.0,22.0,29.0,84.0,25.663716814159294
16,2010,1-Lubbock,Male,Hispanic,Thirteen to Seventeen Years Old,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,8,18,467,25.944444444444446,8.0,10.0,35.0,8.0,39.0,4.0,8.0,43.0,15.686274509803921
17,2010,10-El Paso,Female,African American,Birth to Five Years Old,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2,12,6.0,4.0,10.0,3.0,1.0,3.0,1.0,0.0,4.0,0.0
18,2010,10-El Paso,Female,African American,Six to Twelve Years Old,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,3,21,7.0,4.0,14.0,2.0,3.0,4.0,1.0,0.0,5.0,0.0
19,2010,10-El Paso,Female,African American,Thirteen to Seventeen Years Old,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2,1,7,7.0,6.0,9.0,4.0,1.0,5.0,0.0,2.0,5.0,28.57142857142857
20,2010,10-El Paso,Female,Anglo,Six to Twelve Years Old,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2,2,52,26.0,12.0,14.0,5.0,4.0,4.0,5.0,4.0,9.0,30.76923076923077
21,2010,10-El Paso,Female,Hispanic,Birth to Five Years Old,4.0,12.0,0.0,0.0,4.0,1.0,0.0,0.0,15,11,185,16.818181818181817,10.0,10.0,10.0,6.0,9.0,7.0,16.0,16.0,50.0
22,2010,10-El Paso,Female,Hispanic,Six to Twelve Years Old,8.0,10.0,0.0,1.0,1.0,1.0,0.0,0.0,14,13,222,17.076923076923073,14.0,14.0,12.0,11.0,16.0,7.0,18.0,23.0,43.90243902439025
23,2010,10-El Paso,Female,Hispanic,Thirteen to Seventeen Years Old,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,5,6,180,30.0,10.0,10.0,13.0,10.0,18.0,5.0,4.0,23.0,14.814814814814813
